##############################################################################
# Memory Diffs, Focus Probes, and Region Summaries
# Source: BEDiag dumps from real Casio BE-300 hardware
##############################################################################

--- DIFF SUMMARY ---
--- PASS DIFFERENCES ---

#-----------------------------------------------------------------------------
# [DIFF_REGION] (245 entries)
#-----------------------------------------------------------------------------
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=12 detailed_words_logged=12
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=13 detailed_words_logged=13
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=14 detailed_words_logged=14
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=16 detailed_words_logged=16
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=17 detailed_words_logged=17
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=18 detailed_words_logged=18
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=21 detailed_words_logged=21
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=24 detailed_words_logged=24
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=8 detailed_words_logged=8
[DIFF_REGION] pair=early_to_settle name=stack_frame_1700 changed_words_total=9 detailed_words_logged=9
[DIFF_REGION] pair=early_to_settle name=vr4131_bcu_window changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=early_to_settle name=vr4131_core_page skipped from_ok=0 to_ok=0
[DIFF_REGION] pair=early_to_settle name=vr4131_icu_pmu_window changed_words_total=3 detailed_words_logged=3
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=103 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=19 detailed_words_logged=19
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=23 detailed_words_logged=23
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=24 detailed_words_logged=24
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=281 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=356 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=366 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=390 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=40 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=44 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=46 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=49 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=56 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=61 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=65 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=72 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=79 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_base changed_words_total=83 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=11 detailed_words_logged=11
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=114 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=118 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=121 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=130 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=131 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=132 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=14 detailed_words_logged=14
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=145 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=163 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=186 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=19 detailed_words_logged=19
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=21 detailed_words_logged=21
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=217 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=225 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=226 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=23 detailed_words_logged=23
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=32 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=70 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=76 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_A000 changed_words_total=81 detailed_words_logged=32
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_C000 changed_words_total=4 detailed_words_logged=4
[DIFF_REGION] pair=early_to_settle name=vrc4173_page_C000 changed_words_total=8 detailed_words_logged=8
[DIFF_REGION] pair=settle_to_post name=bootctx_alias_A0006000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=bootparam_alias_A001D000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=bootparam_alias_A001D000 changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=settle_to_post name=bootparam_alias_A002D000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=callback_globals_80679400 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=callback_table_51600 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=kdata_page changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=settle_to_post name=obj_table_8066BF00 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=obj_table_8067BF00 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=objptr_table_80660000 changed_words_total=1 detailed_words_logged=1
[DIFF_REGION] pair=settle_to_post name=objptr_table_80660000 changed_words_total=3 detailed_words_logged=3
